20
100 9900
4 1 151
4 2 659
4 3 736
4 5 746
4 6 925
4 7 706
4 8 47
4 9 116
4 10 989
4 11 53
4 12 522
4 13 600
4 14 446
4 15 874
4 16 651
4 17 764
4 18 71
4 19 871
4 20 572
4 21 23
4 22 201
4 23 158
4 24 541
4 25 58
4 26 831
4 27 63
4 28 785
4 29 341
4 30 135
4 31 239
4 32 16
4 33 392
4 34 175
4 35 790
4 36 31
4 37 118
4 38 593
4 39 39
4 40 411
4 41 637
4 42 829
4 43 582
4 44 257
4 45 887
4 46 834
4 47 931
4 48 180
4 49 798
4 50 339
4 51 781
4 52 101
4 53 319
4 54 780
4 55 4
4 56 714
4 57 604
4 58 376
4 59 455
4 60 324
4 61 885
4 62 193
4 63 427
4 64 952
4 65 111
4 66 195
4 67 843
4 68 246
4 69 150
4 70 794
4 71 763
4 72 223
4 73 912
4 74 16
4 75 597
4 76 183
4 77 380
4 78 294
4 79 441
4 80 411
4 81 124
4 82 798
4 83 699
4 84 462
4 85 260
4 86 659
4 87 37
4 88 899
4 89 142
4 90 342
4 91 950
4 92 640
4 93 331
4 94 946
4 95 11
4 96 265
4 97 558
4 98 123
4 99 381
4 100 852
5 1 278
5 2 417
5 3 494
5 4 523
5 6 138
5 7 164
5 8 579
5 9 829
5 10 68
5 11 677
5 12 629
5 13 923
5 14 42
5 15 380
5 16 105
5 17 478
5 18 698
5 19 165
5 20 539
5 21 489
5 22 893
5 23 355
5 24 234
5 25 960
5 26 113
5 27 1000
5 28 377
5 29 5
5 30 162
5 31 231
5 32 742
5 33 190
5 34 188
5 35 255
5 36 172
5 37 848
5 38 634
5 39 415
5 40 570
5 41 244
5 42 892
5 43 701
5 44 440
5 45 931
5 46 446
5 47 350
5 48 431
5 49 247
5 50 8
5 51 953
5 52 306
5 53 56
5 54 698
5 55 132
5 56 988
5 57 755
5 58 844
5 59 661
5 60 647
5 61 59
5 62 194
5 63 524
5 64 268
5 65 501
5 66 265
5 67 495
5 68 938
5 69 784
5 70 424
5 71 919
5 72 900
5 73 713
5 74 697
5 75 735
5 76 500
5 77 849
5 78 885
5 79 184
5 80 19
5 81 138
5 82 164
5 83 982
5 84 497
5 85 585
5 86 816
5 87 998
5 88 237
5 89 467
5 90 363
5 91 699
5 92 185
5 93 994
5 94 938
5 95 449
5 96 373
5 97 707
5 98 29
5 99 617
5 100 311
6 1 281
6 2 429
6 3 783
6 4 208
6 5 698
6 7 506
6 8 955
6 9 859
6 10 872
6 11 492
6 12 790
6 13 527
6 14 169
6 15 968
6 16 48
6 17 681
6 18 622
6 19 579
6 20 8
6 21 533
6 22 205
6 23 157
6 24 285
6 25 558
6 26 607
6 27 898
6 28 691
6 29 412
6 30 837
6 31 37
6 32 282
6 33 619
6 34 523
6 35 937
6 36 80
6 37 420
6 38 705
6 39 515
6 40 586
6 41 874
6 42 53
6 43 281
6 44 325
6 45 581
6 46 683
6 47 637
6 48 537
6 49 639
6 50 445
6 51 427
6 52 683
6 53 313
6 54 104
6 55 89
6 56 377
6 57 46
6 58 434
6 59 871
6 60 111
6 61 397
6 62 879
6 63 799
6 64 875
6 65 251
6 66 541
6 67 767
6 68 387
6 69 89
6 70 573
6 71 735
6 72 913
6 73 764
6 74 585
6 75 781
6 76 198
6 77 952
6 78 176
6 79 856
6 80 429
6 81 687
6 82 714
6 83 453
6 84 169
6 85 296
6 86 851
6 87 416
6 88 729
6 89 276
6 90 801
6 91 566
6 92 679
6 93 336
6 94 823
6 95 631
6 96 938
6 97 754
6 98 251
6 99 857
6 100 299
7 1 325
7 2 1000
7 3 707
7 4 888
7 5 891
7 6 963
7 8 19
7 9 843
7 10 355
7 11 291
7 12 382
7 13 514
7 14 578
7 15 591
7 16 131
7 17 333
7 18 154
7 19 750
7 20 756
7 21 251
7 22 209
7 23 796
7 24 473
7 25 874
7 26 731
7 27 853
7 28 180
7 29 128
7 30 595
7 31 771
7 32 784
7 33 545
7 34 117
7 35 378
7 36 742
7 37 665
7 38 29
7 39 359
7 40 745
7 41 100
7 42 855
7 43 475
7 44 978
7 45 704
7 46 797
7 47 319
7 48 755
7 49 637
7 50 690
7 51 297
7 52 843
7 53 57
7 54 693
7 55 118
7 56 602
7 57 638
7 58 413
7 59 822
7 60 587
7 61 458
7 62 649
7 63 979
7 64 222
7 65 361
7 66 384
7 67 874
7 68 420
7 69 727
7 70 836
7 71 159
7 72 747
7 73 296
7 74 48
7 75 205
7 76 732
7 77 159
7 78 987
7 79 525
7 80 460
7 81 979
7 82 776
7 83 428
7 84 142
7 85 229
7 86 267
7 87 86
7 88 702
7 89 462
7 90 816
7 91 522
7 92 172
7 93 834
7 94 675
7 95 781
7 96 914
7 97 340
7 98 877
7 99 337
7 100 945
8 1 627
8 2 269
8 3 823
8 4 218
8 5 806
8 6 831
8 7 177
8 9 897
8 10 579
8 11 818
8 12 540
8 13 725
8 14 431
8 15 391
8 16 585
8 17 769
8 18 725
8 19 352
8 20 87
8 21 722
8 22 627
8 23 599
8 24 463
8 25 140
8 26 997
8 27 588
8 28 988
8 29 38
8 30 571
8 31 583
8 32 36
8 33 783
8 34 685
8 35 7
8 36 852
8 37 117
8 38 481
8 39 322
8 40 432
8 41 398
8 42 900
8 43 418
8 44 684
8 45 954
8 46 724
8 47 465
8 48 23
8 49 361
8 50 941
8 51 504
8 52 723
8 53 16
8 54 496
8 55 432
8 56 371
8 57 830
8 58 272
8 59 791
8 60 68
8 61 495
8 62 342
8 63 287
8 64 903
8 65 505
8 66 569
8 67 255
8 68 353
8 69 689
8 70 513
8 71 859
8 72 179
8 73 714
8 74 166
8 75 863
8 76 779
8 77 423
8 78 365
8 79 111
8 80 703
8 81 724
8 82 769
8 83 401
8 84 816
8 85 903
8 86 928
8 87 77
8 88 69
8 89 884
8 90 566
8 91 127
8 92 798
8 93 158
8 94 614
8 95 250
8 96 876
8 97 344
8 98 350
8 99 232
8 100 125
9 1 650
9 2 598
9 3 827
9 4 857
9 5 914
9 6 973
9 7 444
9 8 180
9 10 35
9 11 603
9 12 565
9 13 274
9 14 382
9 15 1000
9 16 145
9 17 216
9 18 142
9 19 259
9 20 990
9 21 16
9 22 720
9 23 238
9 24 861
9 25 296
9 26 500
9 27 933
9 28 277
9 29 83
9 30 849
9 31 175
9 32 33
9 33 119
9 34 66
9 35 125
9 36 757
9 37 565
9 38 13
9 39 469
9 40 692
9 41 661
9 42 517
9 43 590
9 44 921
9 45 386
9 46 454
9 47 382
9 48 921
9 49 72
9 50 234
9 51 705
9 52 176
9 53 379
9 54 853
9 55 501
9 56 693
9 57 263
9 58 100
9 59 672
9 60 472
9 61 104
9 62 324
9 63 281
9 64 84
9 65 316
9 66 599
9 67 104
9 68 781
9 69 861
9 70 533
9 71 123
9 72 458
9 73 680
9 74 125
9 75 956
9 76 310
9 77 526
9 78 189
9 79 217
9 80 529
9 81 6
9 82 433
9 83 832
9 84 494
9 85 931
9 86 696
9 87 775
9 88 992
9 89 309
9 90 392
9 91 438
9 92 409
9 93 379
9 94 425
9 95 96
9 96 425
9 97 923
9 98 793
9 99 346
9 100 775
10 1 471
10 2 86
10 3 543
10 4 179
10 5 630
10 6 68
10 7 911
10 8 802
10 9 55
10 11 219
10 12 268
10 13 724
10 14 875
10 15 628
10 16 591
10 17 431
10 18 898
10 19 635
10 20 208
10 21 116
10 22 58
10 23 598
10 24 398
10 25 941
10 26 463
10 27 414
10 28 786
10 29 766
10 30 341
10 31 402
10 32 389
10 33 38
10 34 312
10 35 995
10 36 164
10 37 425
10 38 238
10 39 545
10 40 401
10 41 943
10 42 491
10 43 918
10 44 271
10 45 437
10 46 10
10 47 427
10 48 75
10 49 910
10 50 73
10 51 417
10 52 511
10 53 195
10 54 501
10 55 332
10 56 834
10 57 903
10 58 27
10 59 145
10 60 13
10 61 568
10 62 921
10 63 43
10 64 938
10 65 125
10 66 454
10 67 580
10 68 128
10 69 608
10 70 987
10 71 178
10 72 667
10 73 827
10 74 559
10 75 91
10 76 828
10 77 131
10 78 392
10 79 472
10 80 192
10 81 19
10 82 761
10 83 583
10 84 366
10 85 57
10 86 290
10 87 218
10 88 636
10 89 883
10 90 845
10 91 611
10 92 451
10 93 414
10 94 966
10 95 970
10 96 81
10 97 536
10 98 588
10 99 192
10 100 774
11 1 35
11 2 370
11 3 352
11 4 378
11 5 825
11 6 41
11 7 827
11 8 812
11 9 630
11 10 93
11 12 454
11 13 547
11 14 750
11 15 171
11 16 371
11 17 458
11 18 946
11 19 67
11 20 382
11 21 172
11 22 520
11 23 314
11 24 650
11 25 832
11 26 185
11 27 288
11 28 660
11 29 547
11 30 717
11 31 233
11 32 519
11 33 436
11 34 779
11 35 680
11 36 174
11 37 450
11 38 534
11 39 760
11 40 699
11 41 200
11 42 300
11 43 816
11 44 111
11 45 119
11 46 561
11 47 49
11 48 818
11 49 627
11 50 831
11 51 445
11 52 582
11 53 737
11 54 422
11 55 876
11 56 935
11 57 795
11 58 175
11 59 989
11 60 284
11 61 697
11 62 539
11 63 657
11 64 511
11 65 535
11 66 392
11 67 716
11 68 765
11 69 941
11 70 920
11 71 658
11 72 461
11 73 931
11 74 983
11 75 328
11 76 947
11 77 676
11 78 177
11 79 560
11 80 796
11 81 423
11 82 156
11 83 19
11 84 539
11 85 768
11 86 71
11 87 901
11 88 126
11 89 727
11 90 626
11 91 849
11 92 114
11 93 861
11 94 796
11 95 106
11 96 780
11 97 717
11 98 554
11 99 156
11 100 724
12 1 41
12 2 27
12 3 753
12 4 45
12 5 629
12 6 307
12 7 781
12 8 447
12 9 955
12 10 721
12 11 574
12 13 936
12 14 408
12 15 966
12 16 515
12 17 774
12 18 998
12 19 238
12 20 259
12 21 927
12 22 233
12 23 802
12 24 328
12 25 664
12 26 290
12 27 961
12 28 260
12 29 735
12 30 773
12 31 369
12 32 741
12 33 31
12 34 990
12 35 393
12 36 388
12 37 619
12 38 497
12 39 631
12 40 86
12 41 781
12 42 864
12 43 468
12 44 776
12 45 317
12 46 98
12 47 394
12 48 846
12 49 74
12 50 789
12 51 982
12 52 943
12 53 172
12 54 420
12 55 418
12 56 245
12 57 503
12 58 112
12 59 991
12 60 425
12 61 364
12 62 477
12 63 768
12 64 134
12 65 957
12 66 526
12 67 677
12 68 553
12 69 440
12 70 535
12 71 170
12 72 205
12 73 624
12 74 423
12 75 116
12 76 699
12 77 159
12 78 261
12 79 618
12 80 958
12 81 286
12 82 590
12 83 741
12 84 146
12 85 363
12 86 718
12 87 483
12 88 632
12 89 907
12 90 591
12 91 928
12 92 614
12 93 451
12 94 444
12 95 52
12 96 245
12 97 952
12 98 293
12 99 533
12 100 318
13 1 65
13 2 919
13 3 925
13 4 774
13 5 6
13 6 948
13 7 851
13 8 663
13 9 520
13 10 664
13 11 649
13 12 554
13 14 872
13 15 500
13 16 1
13 17 292
13 18 964
13 19 440
13 20 174
13 21 365
13 22 433
13 23 369
13 24 784
13 25 797
13 26 522
13 27 884
13 28 298
13 29 7
13 30 548
13 31 172
13 32 861
13 33 838
13 34 291
13 35 864
13 36 435
13 37 28
13 38 239
13 39 248
13 40 730
13 41 320
13 42 998
13 43 784
13 44 625
13 45 248
13 46 128
13 47 628
13 48 897
13 49 798
13 50 116
13 51 146
13 52 663
13 53 854
13 54 806
13 55 474
13 56 783
13 57 732
13 58 62
13 59 503
13 60 694
13 61 882
13 62 141
13 63 940
13 64 843
13 65 292
13 66 444
13 67 181
13 68 224
13 69 475
13 70 993
13 71 762
13 72 521
13 73 321
13 74 762
13 75 336
13 76 460
13 77 188
13 78 832
13 79 57
13 80 243
13 81 687
13 82 499
13 83 819
13 84 988
13 85 183
13 86 858
13 87 258
13 88 606
13 89 343
13 90 376
13 91 826
13 92 299
13 93 829
13 94 185
13 95 712
13 96 83
13 97 221
13 98 614
13 99 955
13 100 225
14 1 167
14 2 612
14 3 817
14 4 212
14 5 842
14 6 780
14 7 423
14 8 518
14 9 174
14 10 637
14 11 837
14 12 221
14 13 269
14 15 582
14 16 653
14 17 632
14 18 510
14 19 87
14 20 273
14 21 674
14 22 599
14 23 870
14 24 564
14 25 462
14 26 496
14 27 410
14 28 117
14 29 769
14 30 396
14 31 244
14 32 998
14 33 18
14 34 557
14 35 893
14 36 333
14 37 72
14 38 44
14 39 752
14 40 190
14 41 388
14 42 742
14 43 308
14 44 914
14 45 151
14 46 209
14 47 345
14 48 651
14 49 158
14 50 78
14 51 215
14 52 712
14 53 540
14 54 836
14 55 142
14 56 337
14 57 667
14 58 43
14 59 754
14 60 385
14 61 939
14 62 411
14 63 847
14 64 438
14 65 922
14 66 278
14 67 339
14 68 861
14 69 374
14 70 820
14 71 765
14 72 714
14 73 572
14 74 564
14 75 771
14 76 349
14 77 900
14 78 115
14 79 660
14 80 892
14 81 144
14 82 817
14 83 957
14 84 50
14 85 227
14 86 810
14 87 501
14 88 453
14 89 824
14 90 840
14 91 768
14 92 593
14 93 703
14 94 390
14 95 560
14 96 274
14 97 686
14 98 909
14 99 411
14 100 682
15 1 14
15 2 395
15 3 15
15 4 451
15 5 975
15 6 83
15 7 333
15 8 534
15 9 121
15 10 918
15 11 580
15 12 359
15 13 385
15 14 500
15 16 757
15 17 584
15 18 521
15 19 243
15 20 637
15 21 345
15 22 924
15 23 1
15 24 260
15 25 649
15 26 722
15 27 413
15 28 832
15 29 679
15 30 652
15 31 753
15 32 798
15 33 366
15 34 930
15 35 903
15 36 759
15 37 134
15 38 372
15 39 283
15 40 308
15 41 405
15 42 633
15 43 194
15 44 114
15 45 544
15 46 268
15 47 487
15 48 773
15 49 190
15 50 34
15 51 355
15 52 659
15 53 783
15 54 100
15 55 314
15 56 98
15 57 758
15 58 198
15 59 301
15 60 473
15 61 608
15 62 465
15 63 67
15 64 749
15 65 511
15 66 879
15 67 27
15 68 963
15 69 784
15 70 424
15 71 679
15 72 602
15 73 550
15 74 430
15 75 429
15 76 608
15 77 988
15 78 505
15 79 84
15 80 378
15 81 288
15 82 377
15 83 348
15 84 98
15 85 343
15 86 242
15 87 383
15 88 279
15 89 182
15 90 148
15 91 386
15 92 450
15 93 577
15 94 801
15 95 130
15 96 674
15 97 124
15 98 87
15 99 466
15 100 775
16 1 88
16 2 829
16 3 355
16 4 438
16 5 780
16 6 359
16 7 85
16 8 462
16 9 424
16 10 945
16 11 453
16 12 47
16 13 26
16 14 410
16 15 516
16 17 917
16 18 970
16 19 936
16 20 464
16 21 66
16 22 68
16 23 16
16 24 192
16 25 120
16 26 167
16 27 469
16 28 705
16 29 273
16 30 641
16 31 479
16 32 804
16 33 274
16 34 828
16 35 602
16 36 930
16 37 321
16 38 786
16 39 857
16 40 34
16 41 654
16 42 120
16 43 855
16 44 476
16 45 666
16 46 276
16 47 944
16 48 767
16 49 160
16 50 281
16 51 866
16 52 554
16 53 637
16 54 620
16 55 720
16 56 480
16 57 951
16 58 977
16 59 828
16 60 447
16 61 91
16 62 43
16 63 899
16 64 534
16 65 616
16 66 752
16 67 400
16 68 57
16 69 89
16 70 320
16 71 285
16 72 665
16 73 606
16 74 580
16 75 923
16 76 109
16 77 680
16 78 301
16 79 49
16 80 984
16 81 493
16 82 857
16 83 783
16 84 69
16 85 806
16 86 255
16 87 991
16 88 474
16 89 500
16 90 237
16 91 629
16 92 790
16 93 220
16 94 101
16 95 93
16 96 382
16 97 79
16 98 465
16 99 499
16 100 171
17 1 196
17 2 401
17 3 59
17 4 412
17 5 131
17 6 805
17 7 287
17 8 215
17 9 179
17 10 596
17 11 424
17 12 398
17 13 76
17 14 87
17 15 903
17 16 697
17 18 302
17 19 229
17 20 362
17 21 93
17 22 603
17 23 885
17 24 733
17 25 284
17 26 910
17 27 504
17 28 907
17 29 243
17 30 886
17 31 61
17 32 510
17 33 270
17 34 226
17 35 702
17 36 120
17 37 370
17 38 889
17 39 833
17 40 504
17 41 702
17 42 894
17 43 789
17 44 355
17 45 844
17 46 523
17 47 945
17 48 267
17 49 208
17 50 6
17 51 269
17 52 394
17 53 14
17 54 657
17 55 43
17 56 604
17 57 156
17 58 54
17 59 751
17 60 4
17 61 84
17 62 946
17 63 828
17 64 658
17 65 807
17 66 36
17 67 440
17 68 735
17 69 77
17 70 82
17 71 51
17 72 281
17 73 241
17 74 161
17 75 905
17 76 762
17 77 780
17 78 693
17 79 881
17 80 452
17 81 754
17 82 191
17 83 286
17 84 918
17 85 464
17 86 697
17 87 252
17 88 720
17 89 460
17 90 628
17 91 42
17 92 305
17 93 611
17 94 852
17 95 623
17 96 209
17 97 212
17 98 728
17 99 823
17 100 379
18 1 753
18 2 262
18 3 665
18 4 933
18 5 175
18 6 589
18 7 813
18 8 979
18 9 547
18 10 23
18 11 771
18 12 554
18 13 724
18 14 190
18 15 688
18 16 362
18 17 550
18 19 614
18 20 280
18 21 553
18 22 314
18 23 273
18 24 892
18 25 168
18 26 671
18 27 546
18 28 536
18 29 570
18 30 859
18 31 837
18 32 522
18 33 349
18 34 408
18 35 148
18 36 819
18 37 317
18 38 675
18 39 194
18 40 929
18 41 574
18 42 544
18 43 882
18 44 78
18 45 697
18 46 20
18 47 644
18 48 737
18 49 983
18 50 489
18 51 642
18 52 54
18 53 681
18 54 475
18 55 624
18 56 121
18 57 680
18 58 705
18 59 666
18 60 721
18 61 606
18 62 753
18 63 373
18 64 592
18 65 973
18 66 828
18 67 75
18 68 264
18 69 550
18 70 627
18 71 246
18 72 898
18 73 452
18 74 275
18 75 577
18 76 232
18 77 698
18 78 617
18 79 477
18 80 199
18 81 529
18 82 649
18 83 921
18 84 577
18 85 993
18 86 535
18 87 593
18 88 862
18 89 129
18 90 195
18 91 698
18 92 954
18 93 316
18 94 855
18 95 419
18 96 29
18 97 564
18 98 1
18 99 305
18 100 714
19 1 773
19 2 532
19 3 104
19 4 360
19 5 522
19 6 365
19 7 338
19 8 548
19 9 533
19 10 689
19 11 972
19 12 663
19 13 641
19 14 352
19 15 680
19 16 142
19 17 770
19 18 519
19 20 682
19 21 402
19 22 756
19 23 809
19 24 89
19 25 899
19 26 109
19 27 870
19 28 159
19 29 537
19 30 340
19 31 409
19 32 353
19 33 449
19 34 906
19 35 610
19 36 768
19 37 835
19 38 980
19 39 466
19 40 685
19 41 534
19 42 312
19 43 93
19 44 157
19 45 96
19 46 284
19 47 539
19 48 996
19 49 459
19 50 415
19 51 751
19 52 64
19 53 703
19 54 214
19 55 325
19 56 312
19 57 686
19 58 364
19 59 767
19 60 772
19 61 482
19 62 46
19 63 314
19 64 56
19 65 424
19 66 432
19 67 301
19 68 621
19 69 579
19 70 341
19 71 791
19 72 488
19 73 221
19 74 969
19 75 840
19 76 25
19 77 687
19 78 273
19 79 599
19 80 703
19 81 439
19 82 445
19 83 353
19 84 320
19 85 825
19 86 96
19 87 221
19 88 47
19 89 647
19 90 396
19 91 827
19 92 573
19 93 418
19 94 495
19 95 790
19 96 299
19 97 4
19 98 477
19 99 873
19 100 879
20 1 3
20 2 827
20 3 492
20 4 464
20 5 110
20 6 319
20 7 849
20 8 184
20 9 576
20 10 666
20 11 610
20 12 10
20 13 914
20 14 285
20 15 877
20 16 611
20 17 164
20 18 18
20 19 27
20 21 48
20 22 170
20 23 188
20 24 715
20 25 649
20 26 926
20 27 80
20 28 201
20 29 728
20 30 30
20 31 326
20 32 657
20 33 578
20 34 193
20 35 868
20 36 549
20 37 142
20 38 631
20 39 687
20 40 690
20 41 964
20 42 118
20 43 75
20 44 614
20 45 975
20 46 13
20 47 809
20 48 360
20 49 573
20 50 495
20 51 190
20 52 663
20 53 715
20 54 301
20 55 768
20 56 975
20 57 440
20 58 224
20 59 579
20 60 264
20 61 359
20 62 66
20 63 41
20 64 462
20 65 231
20 66 809
20 67 147
20 68 522
20 69 208
20 70 559
20 71 257
20 72 331
20 73 824
20 74 614
20 75 764
20 76 927
20 77 104
20 78 646
20 79 83
20 80 761
20 81 509
20 82 421
20 83 171
20 84 283
20 85 349
20 86 7
20 87 422
20 88 624
20 89 904
20 90 43
20 91 11
20 92 790
20 93 41
20 94 402
20 95 529
20 96 685
20 97 807
20 98 613
20 99 604
20 100 840
21 1 595
21 2 418
21 3 862
21 4 799
21 5 11
21 6 930
21 7 274
21 8 494
21 9 3
21 10 678
21 11 335
21 12 58
21 13 306
21 14 1000
21 15 242
21 16 706
21 17 59
21 18 29
21 19 544
21 20 735
21 22 285
21 23 612
21 24 806
21 25 999
21 26 67
21 27 857
21 28 105
21 29 755
21 30 802
21 31 608
21 32 512
21 33 742
21 34 875
21 35 693
21 36 721
21 37 919
21 38 95
21 39 237
21 40 154
21 41 614
21 42 399
21 43 480
21 44 797
21 45 554
21 46 693
21 47 634
21 48 737
21 49 279
21 50 526
21 51 487
21 52 814
21 53 300
21 54 514
21 55 300
21 56 516
21 57 462
21 58 277
21 59 271
21 60 611
21 61 438
21 62 327
21 63 294
21 64 559
21 65 132
21 66 138
21 67 769
21 68 524
21 69 660
21 70 125
21 71 409
21 72 973
21 73 465
21 74 690
21 75 3
21 76 811
21 77 412
21 78 454
21 79 333
21 80 856
21 81 260
21 82 958
21 83 611
21 84 451
21 85 177
21 86 111
21 87 538
21 88 273
21 89 229
21 90 280
21 91 99
21 92 761
21 93 326
21 94 305
21 95 16
21 96 366
21 97 598
21 98 210
21 99 369
21 100 306
22 1 272
22 2 148
22 3 292
22 4 405
22 5 84
22 6 164
22 7 646
22 8 74
22 9 549
22 10 637
22 11 888
22 12 357
22 13 743
22 14 129
22 15 282
22 16 501
22 17 40
22 18 376
22 19 217
22 20 585
22 21 811
22 23 123
22 24 846
22 25 879
22 26 109
22 27 842
22 28 746
22 29 356
22 30 928
22 31 535
22 32 277
22 33 360
22 34 371
22 35 771
22 36 226
22 37 672
22 38 326
22 39 82
22 40 146
22 41 29
22 42 572
22 43 948
22 44 635
22 45 938
22 46 25
22 47 888
22 48 757
22 49 340
22 50 727
22 51 571
22 52 955
22 53 101
22 54 402
22 55 65
22 56 435
22 57 411
22 58 356
22 59 983
22 60 831
22 61 842
22 62 369
22 63 38
22 64 512
22 65 158
22 66 769
22 67 591
22 68 263
22 69 4
22 70 599
22 71 920
22 72 226
22 73 911
22 74 429
22 75 997
22 76 382
22 77 770
22 78 458
22 79 92
22 80 203
22 81 942
22 82 287
22 83 617
22 84 655
22 85 394
22 86 998
22 87 288
22 88 702
22 89 553
22 90 951
22 91 446
22 92 371
22 93 746
22 94 368
22 95 660
22 96 379
22 97 235
22 98 612
22 99 568
22 100 170
23 1 293
23 2 231
23 3 630
23 4 488
23 5 571
23 6 678
23 7 153
23 8 305
23 9 537
23 10 526
23 11 146
23 12 183
23 13 984
23 14 775
23 15 699
23 16 209
23 17 362
23 18 163
23 19 937
23 20 145
23 21 771
23 22 610
23 24 506
23 25 567
23 26 182
23 27 296
23 28 916
23 29 225
23 30 913
23 31 368
23 32 917
23 33 117
23 34 573
23 35 277
23 36 463
23 37 890
23 38 635
23 39 551
23 40 685
23 41 723
23 42 27
23 43 350
23 44 18
23 45 42
23 46 433
23 47 436
23 48 434
23 49 404
23 50 415
23 51 879
23 52 817
23 53 451
23 54 160
23 55 582
23 56 674
23 57 24
23 58 231
23 59 91
23 60 754
23 61 118
23 62 591
23 63 868
23 64 661
23 65 131
23 66 579
23 67 883
23 68 17
23 69 989
23 70 185
23 71 144
23 72 560
23 73 941
23 74 964
23 75 232
23 76 955
23 77 720
23 78 513
23 79 506
23 80 625
23 81 680
23 82 982
23 83 580
23 84 105
23 85 872
23 86 769
23 87 697
23 88 863
23 89 174
23 90 86
23 91 56
23 92 94
23 93 636
23 94 711
23 95 856
23 96 652
23 97 434
23 98 989
23 99 62
23 100 960
24 1 757
24 2 982
24 3 119
24 4 735
24 5 995
24 6 704
24 7 311
24 8 368
24 9 261
24 10 95
24 11 584
24 12 328
24 13 271
24 14 200
24 15 193
24 16 538
24 17 621
24 18 604
24 19 639
24 20 640
24 21 655
24 22 569
24 23 592
24 25 941
24 26 100
24 27 656
24 28 891
24 29 887
24 30 674
24 31 753
24 32 417
24 33 143
24 34 57
24 35 171
24 36 793
24 37 851
24 38 58
24 39 181
24 40 837
24 41 698
24 42 820
24 43 90
24 44 523
24 45 735
24 46 515
24 47 953
24 48 213
24 49 785
24 50 630
24 51 68
24 52 740
24 53 17
24 54 575
